num_fesible,num_optimize,,,,,,,,,,,,,,,,,,
407,401,,,,,,,,,,,,,,,,,,
file_name,lb,ub,num_var,num_clause,num_consistency_clause,num_PB_clause,zero_lits,one_lits,two_lits,three_lits,four_lits,five_to_ten,more_than_ten,feasible,make_span,total_encoding_time,total_solving_time,optimized,timeout
data_set/j90.sm/j908_4.sm,77,77,127102,267771,15523,222054,0,1035,160222,106382,0,3,129,TRUE,77,335.40968,56.09901,TRUE,FALSE
data_set/j90.sm/j908_5.sm,63,63,131333,270344,12598,232829,0,664,155507,114038,0,2,133,TRUE,63,309.78949,55.80856,TRUE,FALSE
data_set/j90.sm/j908_6.sm,70,70,113839,236006,12917,197822,0,773,138155,96944,0,1,133,TRUE,70,272.92426,50.32526,TRUE,FALSE
data_set/j90.sm/j908_7.sm,77,77,149067,310864,16244,263599,0,938,184198,125594,0,0,134,TRUE,77,384.63519,70.93501,TRUE,FALSE
data_set/j90.sm/j908_8.sm,68,68,130500,268387,12209,232156,0,739,154478,113036,0,5,129,TRUE,68,310.18049,65.60688,TRUE,FALSE
data_set/j90.sm/j908_9.sm,97,97,226163,476344,26422,398716,0,1353,285230,189626,0,0,135,TRUE,97,591.67438,85.73944,TRUE,FALSE
data_set/j90.sm/j908_10.sm,88,88,181213,379675,19241,317667,0,1110,227790,150642,0,0,133,TRUE,88,475.90256,87.03509,TRUE,FALSE
data_set/j90.sm/j909_1.sm,100,104,249724,536664,29803,441182,0,1183,351978,183368,0,0,135,FALSE,0,720.1105,0,FALSE,TRUE
data_set/j90.sm/j909_2.sm,119,128,308920,670855,42150,545063,0,1611,447376,221733,0,0,135,FALSE,0,972.6402,0,FALSE,TRUE
data_set/j90.sm/j909_3.sm,97,102,237188,508755,28100,419855,0,1213,335022,172385,0,0,135,FALSE,0,678.99743,0,FALSE,TRUE
data_set/j90.sm/j909_4.sm,117,127,278159,604774,38150,488464,0,1645,408552,194442,0,0,135,FALSE,0,855.68457,0,FALSE,TRUE
data_set/j90.sm/j909_5.sm,125,140,308460,677779,47277,535465,0,1664,458906,217074,0,0,135,FALSE,0,982.48765,0,FALSE,TRUE
data_set/j90.sm/j909_6.sm,110,119,264830,573722,35310,467013,0,1398,384193,187996,0,0,135,FALSE,0,749.60571,0,FALSE,TRUE
