file_name,num_var,num_clause,feasible,make_span,solve_time
data_set/j30.sm/j304_5.sm,3633,9526,1,59,0.01576
data_set/j30.sm/j304_6.sm,2258,5537,1,45,0.01133
data_set/j30.sm/j304_7.sm,2791,7958,1,56,0.01303
data_set/j30.sm/j304_8.sm,2544,6578,1,55,0.01207
data_set/j30.sm/j304_9.sm,1773,4050,1,38,0.00907
data_set/j30.sm/j304_10.sm,3383,7976,1,48,0.01398
data_set/j30.sm/j305_1.sm,9370,20212,1,53,0.03021
data_set/j30.sm/j305_2.sm,13298,30230,1,82,0.10048
data_set/j30.sm/j305_3.sm,14829,33710,1,76,0.07786
data_set/j30.sm/j305_4.sm,11342,25873,1,63,0.03573
data_set/j30.sm/j305_5.sm,13874,31113,1,76,0.07315
data_set/j30.sm/j305_6.sm,10744,23835,1,64,0.03969
data_set/j30.sm/j305_7.sm,15085,33929,1,76,0.1126
data_set/j30.sm/j305_8.sm,12988,28902,1,67,0.06683
data_set/j30.sm/j305_9.sm,8018,17018,1,49,0.02595
data_set/j30.sm/j305_10.sm,11045,24948,1,70,0.03655
data_set/j30.sm/j306_1.sm,7566,16492,1,59,0.02852
data_set/j30.sm/j306_2.sm,7687,16560,1,51,0.02407
data_set/j30.sm/j306_3.sm,7261,15148,1,48,0.02151
data_set/j30.sm/j306_4.sm,5265,11276,1,42,0.01784
data_set/j30.sm/j306_5.sm,15093,32875,1,67,0.0396
data_set/j30.sm/j306_6.sm,6982,13800,1,37,0.0192
data_set/j30.sm/j306_7.sm,7489,15456,1,46,0.02127
data_set/j30.sm/j306_8.sm,6394,12870,1,39,0.01785
data_set/j30.sm/j306_9.sm,9041,18948,1,51,0.02434
data_set/j30.sm/j306_10.sm,9285,21014,1,61,0.03007
data_set/j30.sm/j307_1.sm,11476,23899,1,55,0.03317
data_set/j30.sm/j307_2.sm,5928,12039,1,42,0.01974
data_set/j30.sm/j307_3.sm,7508,15339,1,42,0.0219
data_set/j30.sm/j307_4.sm,4854,10012,1,44,0.01441
data_set/j30.sm/j307_5.sm,7219,14993,1,44,0.02054
data_set/j30.sm/j307_6.sm,5856,11502,1,35,0.01678
data_set/j30.sm/j307_7.sm,7104,14412,1,50,0.01942
data_set/j30.sm/j307_8.sm,6034,12711,1,44,0.01979
data_set/j30.sm/j307_9.sm,11924,25028,1,60,0.03105
data_set/j30.sm/j307_10.sm,12238,24756,1,49,0.03098
data_set/j30.sm/j308_1.sm,7121,14147,1,44,0.01941
data_set/j30.sm/j308_2.sm,8342,16908,1,51,0.02279
data_set/j30.sm/j308_3.sm,8094,16939,1,53,0.02201
data_set/j30.sm/j308_4.sm,8645,17270,1,48,0.02269
data_set/j30.sm/j308_5.sm,13115,27037,1,58,0.03292
data_set/j30.sm/j308_6.sm,7623,15970,1,47,0.02184
data_set/j30.sm/j308_7.sm,4368,8600,1,41,0.01359
data_set/j30.sm/j308_8.sm,9285,18869,1,51,0.02415
data_set/j30.sm/j308_9.sm,5178,10263,1,39,0.01487
data_set/j30.sm/j308_10.sm,9063,19288,1,67,0.02512
data_set/j30.sm/j309_1.sm,32373,68246,1,83,0.10164
data_set/j30.sm/j309_2.sm,33048,69957,1,92,0.40919
data_set/j30.sm/j309_3.sm,24832,51509,1,68,0.18308
data_set/j30.sm/j309_4.sm,25393,52694,1,71,0.15876
data_set/j30.sm/j309_5.sm,25383,52137,1,70,0.07357
data_set/j30.sm/j309_6.sm,21261,43054,1,59,0.12259
data_set/j30.sm/j309_7.sm,23499,48462,1,63,0.31243
data_set/j30.sm/j309_8.sm,34885,74408,1,91,0.1597
data_set/j30.sm/j309_9.sm,22508,46135,1,63,0.29265
